claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,source_type,checked_at
"&nbsp; Eishockey im TV--> Shows im TV Tatort im TV UEFA Champions- &Europa-League im TV--> clear Alle TV-Themen im Überblick Sender Mi, 18",https://www.tele.at/sendungsdetails/22171893/csi-miami.html,tele.at,"&quot;CSI: Miami&quot; - Serien - Krimiserie, RTL, 18.03.2026, 01:35 Uhr - Sendung im TV-Programm - ",0.1,LOW,False,,,unknown,2026-03-18T02:26:33.456898
"Frankfurt am Main – Das Internet ist voll von Angeboten rund um das Thema Rente, doch nicht alle davon sind seriös",https://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0.1,LOW,False,,,unknown,2026-03-18T02:26:34.668904
"Kriminelle erstellen Websites, die offiziellen Portalen der Deutschen Rentenversicherung (DRV) zum Verwechseln ähnlich sehen",https://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:34.784310
Dabei können diese Leistungen über die offizielle Website der Rentenversicherung vollständig kostenlos beantragt werden,https://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:34.906328
"Dazu ist beispielsweise ein offizielles Ausweisdokument sowie ein Video erforderlich, mit dem die Plattform die reale Person eindeutig identifizieren kann",https://www.gala.de/lifestyle/trends/kampf-gegen-fake-news--youtube-weitet-schutz-gegen-deepfakes-aus-24563900.html,gala.de,Kampf gegen Fake News: YouTube weitet Schutz gegen Deepfakes aus | GALA.de,0,LOW,False,,,unknown,2026-03-18T02:26:35.757964
Laut YouTube sollen diese Daten ausschließlich zur Nutzung des Tools dienen und nicht zum Training von KI-Modellen verwendet werden,https://www.gala.de/lifestyle/trends/kampf-gegen-fake-news--youtube-weitet-schutz-gegen-deepfakes-aus-24563900.html,gala.de,Kampf gegen Fake News: YouTube weitet Schutz gegen Deepfakes aus | GALA.de,0,LOW,False,,,unknown,2026-03-18T02:26:35.853009
Nach Angaben des Unternehmens waren in früheren Tests nur wenige Löschanträge nötig,https://www.gala.de/lifestyle/trends/kampf-gegen-fake-news--youtube-weitet-schutz-gegen-deepfakes-aus-24563900.html,gala.de,Kampf gegen Fake News: YouTube weitet Schutz gegen Deepfakes aus | GALA.de,0,LOW,False,,,unknown,2026-03-18T02:26:35.945162
"Frankfurt am Main – Das Internet ist voll von Angeboten rund um das Thema Rente, doch nicht alle davon sind seriös",http://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0.1,LOW,False,,,unknown,2026-03-18T02:26:36.499207
"Kriminelle erstellen Websites, die offiziellen Portalen der Deutschen Rentenversicherung (DRV) zum Verwechseln ähnlich sehen",http://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:36.590925
Dabei können diese Leistungen über die offizielle Website der Rentenversicherung vollständig kostenlos beantragt werden,http://www.merkur.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223056.html,merkur.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:36.684400
"Frankfurt am Main – Das Internet ist voll von Angeboten rund um das Thema Rente, doch nicht alle davon sind seriös",http://www.wa.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223057.html,wa.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0.1,LOW,False,,,unknown,2026-03-18T02:26:37.567020
"Kriminelle erstellen Websites, die offiziellen Portalen der Deutschen Rentenversicherung (DRV) zum Verwechseln ähnlich sehen",http://www.wa.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223057.html,wa.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:37.620535
Dabei können diese Leistungen über die offizielle Website der Rentenversicherung vollständig kostenlos beantragt werden,http://www.wa.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223057.html,wa.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:37.713482
"Frankfurt am Main – Das Internet ist voll von Angeboten rund um das Thema Rente, doch nicht alle davon sind seriös",http://www.hna.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223048.html,hna.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0.1,LOW,False,,,unknown,2026-03-18T02:26:38.428055
"Kriminelle erstellen Websites, die offiziellen Portalen der Deutschen Rentenversicherung (DRV) zum Verwechseln ähnlich sehen",http://www.hna.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223048.html,hna.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:38.519309
Dabei können diese Leistungen über die offizielle Website der Rentenversicherung vollständig kostenlos beantragt werden,http://www.hna.de/wirtschaft/massiver-renten-betrug-fake-websites-phishing-mails-und-gefaelschte-briefe-so-dreist-gehen-kriminelle-vor-94223048.html,hna.de,Renten-Betrug im Netz: Kriminelle kopieren Seiten der Deutschen Rentenversicherung,0,LOW,False,,,unknown,2026-03-18T02:26:38.610370
"Dass er Opfer einer Hausbesetzung durch Okupas werden könnte, hätte er nie für möglich gehalten",http://www.costanachrichten.com/costa-blanca/okupas-in-spanien-eigentuemer-zahlen-loesegeld-fuer-die-eigenen-vier-waende-94222195.html,costanachrichten.com,Okupas in Spanien: Eigentümer zahlen Lösegeld für die eigenen vier Wände,0.1,LOW,False,,,unknown,2026-03-18T02:26:40.715248
In touristischen Brennpunkten wie Benidorm oder Jávea fließen Berichten der städtischen Wohnungsämter zufolge bis zu 87 Prozent der Mietangebote ausschließlich in die kurzzeitige Ferienvermietung,http://www.costanachrichten.com/costa-blanca/okupas-in-spanien-eigentuemer-zahlen-loesegeld-fuer-die-eigenen-vier-waende-94222195.html,costanachrichten.com,Okupas in Spanien: Eigentümer zahlen Lösegeld für die eigenen vier Wände,0,LOW,False,,,unknown,2026-03-18T02:26:40.808041
Laut dem Statistikamt INE stehen in der Provinz Alicante rund 209,http://www.costanachrichten.com/costa-blanca/okupas-in-spanien-eigentuemer-zahlen-loesegeld-fuer-die-eigenen-vier-waende-94222195.html,costanachrichten.com,Okupas in Spanien: Eigentümer zahlen Lösegeld für die eigenen vier Wände,0,LOW,False,,,unknown,2026-03-18T02:26:40.902240
"Ein Nutzer kontert trocken: „Vielleicht ist es besser, wenn wir das nie erfahren werden“",http://www.come-on.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222326.html,come-on.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:41.546897
"„Keine Ahnung, wie sie da heißen, aber ähnlich komisch“, merkt ein Nutzer an",http://www.come-on.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222326.html,come-on.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:41.641681
"Ein Nutzer kontert trocken: „Vielleicht ist es besser, wenn wir das nie erfahren werden“",https://www.merkur.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222321.html,merkur.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:42.764827
"„Keine Ahnung, wie sie da heißen, aber ähnlich komisch“, merkt ein Nutzer an",https://www.merkur.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222321.html,merkur.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:42.863252
"Ein Nutzer kontert trocken: „Vielleicht ist es besser, wenn wir das nie erfahren werden“",http://www.wa.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222326.html,wa.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:43.416303
"„Keine Ahnung, wie sie da heißen, aber ähnlich komisch“, merkt ein Nutzer an",http://www.wa.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222326.html,wa.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:43.512486
Laut Marktbeobachtungen sind die Preise seltener Editionen auf Wiederverkaufsplattformen spürbar gesunken,http://www.wa.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222326.html,wa.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0,LOW,False,,,unknown,2026-03-18T02:26:43.579337
"Ein Nutzer kontert trocken: „Vielleicht ist es besser, wenn wir das nie erfahren werden“",http://www.hna.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222319.html,hna.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:44.242732
"„Keine Ahnung, wie sie da heißen, aber ähnlich komisch“, merkt ein Nutzer an",http://www.hna.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222319.html,hna.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:44.335884
"Ein Nutzer kontert trocken: „Vielleicht ist es besser, wenn wir das nie erfahren werden“",https://www.hna.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222319.html,hna.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:45.146359
"„Keine Ahnung, wie sie da heißen, aber ähnlich komisch“, merkt ein Nutzer an",https://www.hna.de/verbraucher/frag-mich-was-die-bei-tchibo-geraucht-haben-trend-produkt-sorgt-fuer-aufruhr-94222319.html,hna.de,"„Frag mich, was die bei Tchibo geraucht haben“ – Trend-Produkt sorgt für Aufruhr",0.1,LOW,False,,,unknown,2026-03-18T02:26:45.241035
Allein im vergangenen Jahr kamen 65 Millionen Reisende nach Italien,https://www.remszeitung.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,remszeitung.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0.1,LOW,False,,,unknown,2026-03-18T02:26:47.577972
